99.98 99.74 99.65 99.39
99.76 99.71 99.75 99.98
99.62 99.58 99.89 100.27
99.86 99.74 99.76 100.15
100.21 99.63 99.77 99.78
99.73 99.72 99.72 99.89
100.43 99.86 99.76 99.43
99.83 99.77 99.70 100.63
99.66 99.49 99.77 99.54
100.13 99.80 99.82 100.15
99.79 99.77 99.81 100.13
100.30 99.82 99.78 99.57
99.61 99.78 99.77 99.63
99.97 99.05 99.74 99.96
99.80 99.89 99.87 100.00
100.12 99.76 99.76 100.47
99.81 99.76 99.76 99.78
100.45 99.75 99.75 100.25
99.52 99.76 99.75 99.93
100.46 99.71 99.77 99.98
99.50 99.82 99.81 99.32
99.47 99.48 99.79 100.56
99.74 99.81 99.78 99.62
100.32 99.72 99.57 99.72
99.47 98.95 99.67 99.96
100.16 99.85 99.76 100.30
100.73 100.35 101.22 102.59
98.87 99.17 96.68 97.09
100.32 99.70 99.72 100.28
99.62 99.49 99.65 100.05
99.99 99.75 99.78 99.64
99.92 99.59 99.59 100.60
100.37 99.80 99.76 99.61
99.78 99.72 99.69 99.87
100.17 99.81 99.74 100.00
99.77 99.69 99.69 100.13
99.86 99.84 99.78 99.30
100.08 99.70 99.07 100.97
99.66 99.64 99.33 99.33
100.16 99.72 99.73 99.65
100.02 99.82 99.80 100.35
99.39 99.78 99.79 100.00
100.56 99.80 99.69 99.85
99.92 99.74 99.76 99.72
99.42 99.32 99.79 100.05
100.29 100.13 99.82 100.92
99.66 99.43 99.45 99.50
99.45 99.79 99.80 100.37
100.34 99.80 99.49 99.21
99.81 99.92 99.94 100.21
99.77 99.90 99.91 99.53
99.96 99.89 99.93 100.24
99.85 99.90 99.91 99.72
100.07 99.87 99.94 100.35
100.04 99.88 99.92 99.64
99.62 99.83 99.91 100.40
99.87 99.88 99.92 100.05
100.52 99.93 99.94 100.03
99.43 99.89 99.82 99.39
99.98 99.85 99.92 100.24
99.98 99.91 99.93 99.81
100.38 99.89 99.94 100.44
99.66 99.23 99.91 99.48
100.16 99.92 100.01 100.37
99.70 99.78 99.83 99.88
100.14 99.89 99.93 99.81
99.79 99.89 99.85 99.74
100.07 99.76 99.79 100.45
98.86 99.34 99.62 99.76
99.89 99.77 99.71 99.85
99.99 99.80 99.79 100.14
100.39 99.84 99.81 99.81
99.48 99.86 99.84 99.89
99.92 99.92 99.90 99.72
100.34 99.77 99.72 100.62
99.60 99.54 99.71 99.65
99.95 99.79 99.77 99.64
100.48 99.83 99.81 99.87
99.56 99.85 99.86 100.11
99.83 99.84 99.83 99.86
99.77 99.80 99.80 99.95
99.90 99.78 99.78 99.98
100.09 99.59 99.74 100.26
99.49 99.82 99.79 99.69
100.04 99.78 99.76 100.05
100.40 99.31 99.76 100.14
99.91 99.72 99.73 99.70
99.51 99.64 99.77 100.65
100.33 99.54 99.82 99.31
99.76 99.80 99.82 100.17
99.89 99.77 99.76 100.00
99.91 99.76 99.75 99.81
100.57 99.57 99.52 100.50
99.72 99.85 99.83 99.71
99.90 99.85 99.83 99.73
99.79 99.70 99.71 100.00
99.82 100.31 99.88 100.98
99.87 99.31 98.94 99.33
99.92 99.89 99.81 99.66
100.30 99.72 99.76 100.35
100.15 99.48 99.84 100.02
99.35 99.30 99.81 100.10
100.14 100.13 99.76 99.38
99.82 99.78 99.78 100.32
100.17 99.82 99.82 99.60
99.94 99.77 99.77 100.01
100.06 99.81 99.77 100.36
100.32 99.84 99.41 100.02
99.18 99.55 99.53 100.13
100.11 99.82 99.84 100.09
99.96 99.21 99.76 99.29
100.45 99.85 99.84 99.99
99.35 99.78 99.73 99.98
99.95 99.80 99.76 100.07
100.19 99.88 99.87 99.92
99.89 99.15 99.77 100.38
99.30 99.73 98.44 99.61
99.94 99.72 99.48 99.92
100.29 99.81 99.80 100.25
99.90 99.74 99.78 99.89
100.15 99.30 99.80 100.17
99.42 99.29 99.75 99.52
99.98 99.79 99.77 100.13
100.58 99.34 99.86 100.43
99.66 99.76 99.76 99.42
99.81 99.78 99.79 99.99
99.67 99.37 99.84 100.39
100.48 99.84 99.81 100.08
100.00 99.85 98.62 99.86
99.28 99.74 99.76 100.16
100.46 99.80 99.73 99.63
99.48 99.70 99.70 99.68
100.44 99.76 99.76 100.02
99.72 99.68 99.78 100.17
99.28 99.85 99.83 99.42
99.51 99.81 99.60 100.35
100.17 99.75 99.47 99.83
100.12 99.51 99.72 99.68
99.65 99.77 99.80 100.00
99.97 99.77 99.77 100.18
100.06 99.73 99.84 100.46
99.84 99.85 99.83 100.04
99.66 99.76 99.72 99.43
99.87 99.83 99.82 99.76
100.19 99.80 99.81 100.63
99.71 99.77 99.75 99.56
100.29 99.84 99.83 99.77
99.81 99.84 99.85 100.12
99.98 99.82 99.80 100.23
99.46 99.51 99.72 100.16
